sn,experiment,a11,a12,a13,a21,a22,a23,a31,a32,a33,a41,a42,a43,r11,r12,r13,r21,r22,r23,r31,r32,r33,r41,r42,r43,drecall11,drecall12,drecall13,drecall21,drecall22,drecall23,drecall31,drecall32,drecall33,drecall41,drecall42,drecall43,drecallDblExp11,drecallDblExp12,drecallDblExp13,drecallDblExp21,drecallDblExp22,drecallDblExp23,drecallDblExp31,drecallDblExp32,drecallDblExp33,drecallDblExp41,drecallDblExp42,drecallDblExp43,drecog11,drecog12,drecog13,drecog21,drecog22,drecog23,drecog31,drecog32,drecog33,drecog41,drecog42,drecog43,oriented_RED,unoriented_BLACK,delRec_Oriented,delRec_unoriented,delRec_unoriented_noCntrl
1051,1,0.83,0.75,0.55,0.69,0.5,0.86,0.5,0.5,0.89,0.62,0.39,0.7,404,446,361,358,378,404,566,358,363,415,389,380,0.06,0,0,0,0.02,0,0.03,0,0.03,0.02,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0, , , , , , , , , , , , ,0.036666667,0.005555556, , , 
1052,1,0.78,0.8,0.91,0.79,0.87,1,0.5,0.81,0.96,0.88,0.69,0.9,570,586,602,670,614,419,678,601,455,629,639,452,0.05,0.05,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.08,0,0,0, , , , , , , , , , , , ,0.026666667,0.007777778, , , 
1053,1,1,0.76,0.91,0.87,1,0.92,0.83,0.92,0.95,0.89,0.75,0.88,736,757,736,736,684,729,683,782,572,677,651,671,0,0,0,0.03,0.02,0.03,0.02,0,0,0,0,0,0,0,0,0.04,0,0.08,0.06,0,0,0,0,0, , , , , , , , , , , , ,0.006666667,0.008888889, , , 
1054,1,0.88,0.78,0.95,0.76,0.82,0.95,0.55,0.94,1,0.76,0.79,1,736,727,530,647,605,522,827,726,523,675,712,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.09,0,0,0,0,0.06, , , , , , , , , , , , ,0,0, , , 
1055,1,1,0.94,0.76,1,1,0.95,0.87,0.82,1,0.83,0.93,0.93,535,755,751,744,507,754,750,767,516,562,667,665,0,0,0,0,0.07,0,0,0,0.02,0,0,0,0.05,0.13,0,0,0.05,0,0,0,0.11,0,0,0.07, , , , , , , , , , , , ,0.03,0, , , 
1056,1,0.93,0.95,0.94,0.83,1,0.95,0.86,0.94,1,1,1,1,585,613,562,605,521,546,604,587,509,592,640,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0,0, , , 
1057,1,0.96,0.79,1,0.82,0.95,0.9,1,0.84,1,0.94,0.94,0.9,626,814,813,754,892,790,786,738,696,728,851,810,0,0,0,0,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0.05,0.05,0.06,0,0,0,0,0.05, , , , , , , , , , , , ,0,0.003333333, , , 
1058,1,1,0.73,0.86,0.88,0.9,0.88,0.75,0.89,0.94,0.91,0.71,1,739,737,622,645,765,615,773,667,610,708,695,683,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.06,0,0,0.04,0,0, , , , , , , , , , , , ,0,0.004444444, , , 
1059,1,0.86,0.79,0.85,0.83,1,0.75,0.8,0.8,1,0.83,0.93,1,593,721,759,801,583,681,724,758,499,669,712,583,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0.1,0,0,0,0.06,0,0,0,0,0,0,0.05, , , , , , , , , , , , ,0.02,0, , , 
1060,1,0.81,0.89,1,0.84,0.93,0.9,0.82,0.76,0.91,0.9,0.79,0.93,644,639,587,684,635,555,625,734,523,677,759,564,0,0.02,0.03,0,0,0,0,0,0,0,0,0.03,0.05,0.11,0.15,0.05,0.07,0,0,0,0.04,0.05,0,0, , , , , , , , , , , , ,0,0.008888889, , , 
1061,1,0.77,0.8,0.94,0.88,0.95,1,0.88,0.88,0.95,0.81,0.86,1,572,523,551,634,550,512,550,598,481,563,536,548,0.03,0.02,0.02,0,0.16,0.09,0,0.03,0.06,0.02,0,0,0.05,0,0.06,0.06,0.05,0,0,0,0,0,0.14,0.13, , , , , , , , , , , , ,0.083333333,0.02, , , 
1062,1,0.89,0.92,0.96,0.94,0.91,1,0.92,0.78,1,0.91,0.94,1,601,811,576,719,644,548,644,675,696,731,690,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0, , , , , , , , , , , , ,0,0, , , 
